,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
378,obrigado dedicaçao continua,inte fica na paz,cansado tanta incompetencia,Minha maquina parou de funcionar do nada O que pode estar errado,fala ai tudo ok
379,muito obrigado pela sua dedicaçao continuum,bjao sucesso sempre,estou cansado de tanta incompetencia,maquina parou funcionar nada pode errado,Oi preciso de uma soluçao
380,obrigado dedicaçao continuum,bjao sucesso sempre,nao quero mais ter nenhum tipo de relaçao com isso,Minha maquina esta vibrando excessivamente Isso e um problema,oi preciso soluçao
381,agradeço por ir alem das minhas expectativas,paz e amor meu brother,nao quero ter nenhum tipo relaçao,maquina vibrando excessivamente problema,Boa tarde preciso de ajuda com um problema mecanico
382,agradeço ir alem expectativas,paz amor brother,nao quero mais ter nenhum tipo de relaçao com isso,Como posso solucionar um problema de sobrecarga em minha linha de produçao,boa tarde preciso ajuda problema mecanico
383,agradeço por ir alem da minhas expectativas,paz e amor meu brother,nao sou tratado com a devida atençao,posso solucionar problema sobrecarga linha produçao,Oi boa noite
384,obrigado por fazer um otimo trabalho,ate mais meu chapa,nao tratado devida atençao,Minha maquina parou de funcionar como posso resolver,oi boa noite
385,obrigado fazer otimo trabalho,ate chapa,nao sou tratado com a devida atençao,maquina parou funcionar posso resolver,Bom dia pode me dar uma dica
386,obrigado por fazer um otimo trabalho,ate mais meu chapa,estou enojado com essa situaçao,Estou com dificuldades para entender o manual do meu equipamento o que devo fazer,bom dia pode dar dica
387,muito obrigado por ser tao prestativo e amigavel,valeu demais tamo junto,enojado situaçao,dificuldades entender manual equipamento devo fazer,Bom dia como esta
388,obrigado tao prestativo amigavel,valeu demais tamo junto,estou enojado com essa situaçao,A conexao eletrica do meu equipamento esta apresentando problemas o que devo verificar,Boa noite como faço para entender as especificaçoes tecnicas de uma valvula hidraulica
389,muito obrigado por ser tao prestativo e amigavel,manda bala sucesso sempre,nao confio mais nessa empresa,conexao eletrica equipamento apresentando problemas devo verificar,boa noite faço entender especificaçoes tecnicas valvula hidraulica
390,agradeço por tornar isso uma experiencia agradavel,manda bala sucesso sempre,nao confio nessa empresa,Preciso de um especialista para me ajudar a solucionar um problema complexo na minha maquina,Boa noite como faço para entender a especificaçoes tecnicas de uma valvula hidraulica
391,agradeço tornar experiencia agradavel,abraços meu camarada,nao confio mais nessa empresa,preciso especialista ajudar solucionar problema complexo maquina,Alguem ai
392,agradeço por tornar isso uma experiencia agradavel,abraços camarada,isso e uma falta de consideraçao tremenda,Minha rede eletrica esta sofrendo com curtos circuitos o que esta causando isso,alguem ai
393,obrigado por sempre encontrar soluçoes,abraços meu camarada,falta consideraçao tremenda,rede eletrica sofrendo curtos circuitos causando,Ola amigos
394,obrigado sempre encontrar soluçoes,bom descanso meu parceiro,isso e uma falta de consideraçao tremenda,Minha maquina de corte esta apresentando alguns erros o que devo fazer,ola amigos
395,obrigado por sempre encontrar soluçoes,bom descanso parceiro,uma verdadeira falta de comprometimento com o cliente,maquina corte apresentando alguns erros devo fazer,Ola amigo
396,muito obrigado por sua orientaçao valiosa,bom descanso meu parceiro,verdadeira falta comprometimento cliente,Poderia me orientar sobre como resolver um problema de falta de energia em meu equipamento de armazenamento,ola amigo
397,obrigado orientaçao valiosa,later meu chapa,uma verdadeira falta de comprometimento com o cliente,poderia orientar sobre resolver problema falta energia equipamento armazenamento,E ai qual e a ideia
398,muito obrigado por sua orientaçao valiosa,later chapa,nao consigo acreditar que isso esta acontecendo,Como solucionar um problema no sistema de iluminaçao da minha fabrica,ai ideia
399,agradeço por sempre estar disponivel para me ajudar,later meu chapa,nao consigo acreditar acontecendo,solucionar problema sistema iluminaçao fabrica,E ai precisando de ajuda
400,agradeço sempre disponivel ajudar,cuida se sucesso,nao consigo acreditar que isso esta acontecendo,Meu sistema de automaçao nao esta funcionando corretamente como posso conserta lo,ai precisando ajuda
401,agradeço por sempre estar disponivel para me ajudar,cuida sucesso,estou revoltado com essa situaçao,sistema automaçao nao funcionando corretamente posso conserta lo,Tudo bom
402,obrigado por sua prontidao e eficiencia,cuida se sucesso,revoltado situaçao,Estou com dificuldade em solucionar um problema eletrico em minha maquina de costura,tudo bom
403,obrigado prontidao eficiencia,ate logo fica com deus,estou revoltado com essa situaçao,dificuldade solucionar problema eletrico maquina costura,Boa tarde gostaria de saber se e possivel consertar um motor danificado
404,obrigado por sua prontidao e eficiencia,ate logo fica deus,nao recebi o suporte necessario,Meu equipamento esta apresentando falhas o que devo fazer,boa tarde gostaria saber possivel consertar motor danificado
405,muito obrigado por sua paciencia e suporte,ate logo fica com deus,nao recebi suporte necessario,equipamento apresentando falhas devo fazer,Ola pode me ajudar
406,obrigado paciencia suporte,valeu mesmo meu brother,nao recebi o suporte necessario,Estou enfrentando uma falha em meu sistema eletrico O que devo fazer,ola pode ajudar
407,muito obrigado por sua paciencia e suporte,valeu brother,total falta de responsabilidade,enfrentando falha sistema eletrico devo fazer,Oi estou com um problema
408,agradeço por sua atençao aos detalhes e profissionalismo,valeu mesmo meu brother,total falta responsabilidade,Meu equipamento nao esta funcionando corretamente O que pode ser,Oi pessoal
409,agradeço atençao detalhes profissionalismo,manda ver meu chapa,total falta de responsabilidade,equipamento nao funcionando corretamente pode,oi pessoal
410,agradeço por sua atençao aos detalhes e profissionalismo,manda ver chapa,nao vale a pena passar por tudo isso,Estou com dificuldades para fazer a manutençao corretiva o que posso fazer,Ola o que posso fazer por voce
411,obrigado por sua disposiçao em resolver meu problema,manda ver meu chapa,nao vale pena passar tudo,dificuldades fazer manutençao corretiva posso fazer,ola posso fazer voce
412,obrigado disposiçao resolver problema,abraçao sucesso sempre,nao vale a pena passar por tudo isso,Estou enfrentando problemas em meu sistema de controle de qualidade O que fazer,Ola estou com dificuldades
413,obrigado por sua disposiçao em resolver meu problema,abraçao sucesso sempre,nao estou satisfeito,enfrentando problemas sistema controle qualidade fazer,ola dificuldades
414,muito obrigado por sua atençao personalizada,Tchau,nao satisfeito,Meu equipamento esta emitindo ruidos estranhos o que pode estar causando,Ola preciso de ajuda para identificar um ruido estranho em minha maquina
415,obrigado atençao personalizada,Agradeço pela ajuda finalizando aqui a conversa,nao estou satisfeito,equipamento emitindo ruidos estranhos pode causando,ola preciso ajuda identificar ruido estranho maquina
416,muito obrigado por sua atençao personalizada,agradeço ajuda finalizando aqui conversa,estou insatisfeito com isso,Como fazer a manutençao preventiva de maquinas e equipamentos,Ola quer conversar
417,agradeço por sua dedicaçao em me ajudar a alcançar meus objetivos,Muito obrigado encerrando aqui,estou insatisfeito com isso,fazer manutençao preventiva maquinas equipamentos,ola quer conversar
418,agradeço dedicaçao ajudar alcançar objetivos,obrigado encerrando aqui,nao gostei do serviço,Minha maquina esta fazendo barulhos estranhos o que pode ser,Ola poderia me indicar um especialista em manutençao de equipamentos industriais
419,agradeço por sua dedicaçao em me ajudar a alcançar meus objetivos,Certo vou ver se consigo resolver isso sozinho Obrigado,nao gostei serviço,maquina fazendo barulhos estranhos pode,ola poderia indicar especialista manutençao equipamentos industriais
420,obrigado por sua orientaçao e conselhos uteis,certo vou ver consigo resolver sozinho obrigado,nao gostei do serviço,Minha maquina nao esta respondendo aos comandos o que pode estar acontecendo,Boas
421,obrigado orientaçao conselhos uteis,Encerrando a conversa por agora,nao estou contente com o atendimento,maquina nao respondendo comandos pode acontecendo,boas
422,obrigado por sua orientaçao e conselhos uteis,encerrando conversa agora,nao contente atendimento,Como corrigir um curto circuito em um sistema de energia eletrica,boa
423,muito obrigado por sua ajuda valiosa e insights perspicazes,Obrigado pela ajuda ate mais,nao estou contente com o atendimento,corrigir curto circuito sistema energia eletrica,E ai em que posso ajudar
424,obrigado ajuda valiosa insights perspicazes,obrigado ajuda ate,fiquei decepcionado,Minha maquina esta vibrando excessivamente como posso solucionar esse problema,ai posso ajudar
425,muito obrigado por sua ajuda valiosa e insight perspicazes,Ate a proxima,fiquei decepcionado,maquina vibrando excessivamente posso solucionar problema,Oi qual e a melhor forma de prevenir problemas eletricos nas maquinas
426,obrigado ajuda valiosa insight perspicazes,Obrigado pelo suporte encerrando a conversa,estou desapontado,Como diagnosticar o problema em uma maquina,oi melhor forma prevenir problemas eletricos maquinas
427,agradeço por seu excelente serviço ao cliente,obrigado suporte encerrando conversa,desapontado,diagnosticar problema maquina,Oi qual e a melhor forma de prevenir problemas eletricos na maquinas
428,agradeço excelente serviço cliente,Vou encerrar a conversa obrigado pelo atendimento,estou desapontado,Estou com problemas no meu sistema de refrigeraçao o que fazer,E ai tudo bem
429,agradeço por seu excelente serviço ao cliente,vou encerrar conversa obrigado atendimento,nao estou feliz com o suporte,problemas sistema refrigeraçao fazer,ai tudo bem
430,obrigado por sempre ir alem do esperado,Encerrando a conversa,nao feliz suporte,Minha maquina esta superaquecendo o que pode estar causando isso,Ola estou com um vazamento hidraulico e nao sei como solucionar Pode me ajudar
431,obrigado sempre ir alem esperado,encerrando conversa,nao estou feliz com o suporte,maquina superaquecendo pode causando,ola vazamento hidraulico nao sei solucionar pode ajudar
432,obrigado por sempre ir alem do esperado,Obrigado pela assistencia podemos encerrar a conversa,estou frustrado,Minha maquina esta superaquecendo O que fazer,Oi nao sei o que fazer
433,muito obrigado por sua resposta rapida e eficiente,obrigado assistencia podemos encerrar conversa,estou frustrado,maquina superaquecendo fazer,oi nao sei fazer
434,obrigado resposta rapida eficiente,Muito obrigado pela assistencia ate breve,nao estou satisfeito com a resposta,Minha maquina esta produzindo peças com defeito o que pode estar causando isso,Bom dia alguem pode me ajudar
435,muito obrigado por sua resposta rapida e eficiente,obrigado assistencia ate breve,nao satisfeito resposta,maquina produzindo peças defeito pode causando,bom dia alguem pode ajudar
436,agradeço por sua habilidade em encontrar soluçoes,Grato a pelo auxilio,nao estou satisfeito com a resposta,Estou com dificuldades para ajustar a tensao do meu equipamento como posso solucionar,Boa noite como faço para evitar a falta de energia em minha industria
437,agradeço habilidade encontrar soluçoes,grato auxilio,estou insatisfeito com o serviço recebido,dificuldades ajustar tensao equipamento posso solucionar,boa noite faço evitar falta energia industria
438,agradeço por sua habilidade em encontrar soluçoes,Acho que ja resolvi o meu problema Obrigado,insatisfeito serviço recebido,Tenho um problema com a minha esteira de montagem Pode me ajudar a conserta la,Boa noite por favor me ajude
439,obrigado por tornar tudo mais simples e compreensivel,acho ja resolvi problema obrigado,estou insatisfeito com o serviço recebido,problema esteira montagem pode ajudar conserta la,boa noite favor ajude
440,obrigado tornar tudo simples compreensivel,Encerrando a conversa por enquanto,nao gostei do tratamento que recebi,Tenho uma peça quebrada na minha maquina onde posso encontrar outra,Boa tarde qual e a questao
441,obrigado por tornar tudo mais simple e compreensivel,encerrando conversa enquanto,nao gostei tratamento recebi,peça quebrada maquina onde posso encontrar outra,boa tarde questao
442,obrigado tornar tudo simple compreensivel,Meu problema foi resolvido obrigado a,nao gostei do tratamento que recebi,Estou com problemas no controle de qualidade dos produtos voce pode me ajudar a solucionar isso,Boa tarde pode me ajudar com um problema
443,muito obrigado por sua assistencia oportuna e profissional,problema resolvido obrigado,estou descontente,problemas controle qualidade produtos voce pode ajudar solucionar,boa tarde pode ajudar problema
444,obrigado assistencia oportuna profissional,Finalizar conversa obrigado pela ajuda,descontente,Estou com problemas no controle de qualidade do produtos voce pode me ajudar a solucionar isso,Boa noite qual e a demanda
445,muito obrigado por sua assistencia oportuna e profissional,finalizar conversa obrigado ajuda,estou descontente,Estou com dificuldades em encontrar a causa dos ruidos em minha maquina de impressao,boa noite demanda
446,agradeço por sua atençao individualizada e cuidado genuino,Ate a proxima vez,nao estou satisfeito com a qualidade,dificuldades encontrar causa ruidos maquina impressao,Boa tarde tenho uma duvida sobre a calibragem de equipamentos Pode me orientar
447,agradeço atençao individualizada cuidado genuino,Obrigado pela ajuda encerrar a conversa,nao satisfeito qualidade,Estou com dificuldades em encontrar a causa do ruidos em minha maquina de impressao,boa tarde duvida sobre calibragem equipamentos pode orientar
448,agradeço por sua atençao individualizada e cuidado genuino,obrigado ajuda encerrar conversa,nao estou satisfeito com a qualidade,A maquina esta fazendo um barulho estranho como posso consertar,Oi amigao
449,obrigado por sua orientaçao estrategica e apoio constante,Fiquei satisfeito a com as soluçoes apresentadas,estou chateado com isso,maquina fazendo barulho estranho posso consertar,oi amigao
450,obrigado orientaçao estrategica apoio constante,fiquei satisfeito soluçoes apresentadas,estou chateado com isso,O meu equipamento esta desligando sozinho o que pode ser o problema,Oi time
451,obrigado por sua orientaçao estrategica e apoio constante,Fiquei satisfeito a com a soluçoes apresentadas,nao estou contente com a assistencia,equipamento desligando sozinho pode problema,oi time
452,muito obrigado por sua ajuda em resolver esse problema complexo,Tudo resolvido encerrar conversa,nao contente assistencia,Minha maquina esta apresentando problemas de vibraçao como posso resolver,Boa tarde em que posso ser util
453,obrigado ajuda resolver problema complexo,tudo resolvido encerrar conversa,nao estou contente com a assistencia,maquina apresentando problemas vibraçao posso resolver,e ai
454,muito obrigado por sua ajuda em resolver esse problema complexo,Foi muito util conversar com voce obrigado,estou irritado com essa situaçao,Estou tendo problemas com a resistencia eletrica de minha maquina O que devo fazer,ola como posso te ajudar
455,agradeço por sua paciencia inabalavel e compreensao profunda,util conversar voce obrigado,irritado situaçao,tendo problemas resistencia eletrica maquina devo fazer,oi precisa de alguma assistencia
456,agradeço paciencia inabalavel compreensao profunda,Muito obrigado a pela ajuda,estou irritado com essa situaçao,Minha produçao esta caindo o que pode estar ocorrendo,oi precisa alguma assistencia
457,agradeço por sua paciencia inabalavel e compreensao profunda,obrigado ajuda,nao gostei do atendimento,produçao caindo pode ocorrendo,ola estou aqui para responder suas duvidas
458,obrigado por seu compromisso inabalavel em fornecer um serviço excepcional,Encerrar chatbot obrigado,nao gostei atendimento,Estou com dificuldades para encontrar as peças corretas para reequipar a minha maquina O que devo fazer,ola aqui responder duvidas
459,obrigado compromisso inabalavel fornecer serviço excepcional,encerrar chatbot obrigado,nao gostei do atendimento,dificuldades encontrar peças corretas reequipar maquina devo fazer,ola como esta o seu dia
460,obrigado por seu compromisso inabalavel em fornecer um serviço excepcional,Valeu pela ajuda encerrando a conversa agora,estou insatisfeito com a demora,Estou com dificuldades para encontrar a peças corretas para reequipar a minha maquina O que devo fazer,ola dia
461,muito obrigado por sua dedicaçao incansavel e expertise de alto nivel,valeu ajuda encerrando conversa agora,insatisfeito demora,Como diagnosticar e reparar os problemas em um motor eletrico,bom dia como posso tornar seu dia melhor
462,obrigado dedicaçao incansavel expertise alto nivel,Finalizar chat obrigado pela ajuda,estou insatisfeito com a demora,diagnosticar reparar problemas motor eletrico,bom dia posso tornar dia melhor
463,muito obrigado por sua dedicaçao incansavel e expertise de alto nivel,finalizar chat obrigado ajuda,nao estou feliz com a falta de soluçao,Como diagnosticar e reparar o problemas em um motor eletrico,boa tarde como posso facilitar sua vida
464,agradeço por sua contribuiçao significativa e impacto positivo,Agradeço pela ajuda ate mais,nao feliz falta soluçao,Estou com dificuldades em solucionar um problema em minha prensa hidraulica,boa tarde posso facilitar vida
465,agradeço contribuiçao significativa impacto positivo,agradeço ajuda ate,nao estou feliz com a falta de soluçao,dificuldades solucionar problema prensa hidraulica,boa noite o que posso fazer por voce
466,agradeço por sua contribuiçao significativa e impacto positivo,Tchau ate mais,estou decepcionado com a falta de ajuda,Preciso trocar uma peça da minha maquina qual e a mais indicada,boa noite posso fazer voce
467,obrigado por ser um parceiro confiavel e confiavel em nosso caminho para o sucesso,tchau ate,decepcionado falta ajuda,preciso trocar peça maquina indicada,oi em que posso ser util hoje
468,obrigado parceiro confiavel confiavel caminho sucesso,Foi um otimo atendimento podemos encerrar agora,estou decepcionado com a falta de ajuda,Estou tendo dificuldades em identificar a causa de um problema na minha produçao voce pode me ajudar,oi posso util hoje
469,obrigado por ser um parceiro confiavel e confiavel em nosso caminho para o sucesso,otimo atendimento podemos encerrar agora,nao estou satisfeito com a eficiencia,tendo dificuldades identificar causa problema produçao voce pode ajudar,ola estou a disposiçao para te ajudar
470,Obrigado por ter resolvido o meu problema prontamente,Muito obrigado pelo suporte encerrando aqui,nao satisfeito eficiencia,Preciso de ajuda para realizar a troca de uma peça especifica no meu equipamento,ola disposiçao ajudar
471,obrigado ter resolvido problema prontamente,obrigado suporte encerrando aqui,nao estou satisfeito com a eficiencia,preciso ajuda realizar troca peça especifica equipamento,oi como posso contribuir para o seu dia
472,Muito obrigado por me ajudar a resolver o meu problema,Encerrando aqui a conversa todas as duvidas foram solucionadas,estou desapontado com a falta de suporte,Tenho um problema com meu sistema de ar comprimido Pode me ajudar,oi posso contribuir dia
473,obrigado ajudar resolver problema,encerrando aqui conversa todas duvidas solucionadas,desapontado falta suporte,problema sistema ar comprimido pode ajudar,ola qual e a sua necessidade no momento
474,Obrigado pela soluçao,Encerrando aqui a conversa toda a duvidas foram solucionadas,estou desapontado com a falta de suporte,O sistema de lubrificaçao da minha maquina nao esta funcionando como posso solucionar esse problema,ola necessidade momento
475,obrigado soluçao,encerrando aqui conversa toda duvidas solucionadas,nao gostei da forma como fui tratado,sistema lubrificaçao maquina nao funcionando posso solucionar problema,ola o que posso fazer por voce hoje
476,Agradeço pelo suporte,Agradeço pela ajuda encerrando a conversa,nao gostei forma tratado,Estou com dificuldades para entender o funcionamento de uma ferramenta pode me ajudar,ola posso fazer voce hoje
477,agradeço suporte,agradeço ajuda encerrando conversa,nao gostei da forma como fui tratado,dificuldades entender funcionamento ferramenta pode ajudar,oi como posso facilitar sua jornada
478,Muito agradecido pelo suporte,Obrigado pelo suporte vamos encerrar agora,estou insatisfeito com a falta de atençao,Minha linha de produçao esta produzindo muito lentamente o que devo fazer,oi posso facilitar jornada
479,agradecido suporte,obrigado suporte vamos encerrar agora,insatisfeito falta atençao,linha produçao produzindo lentamente devo fazer,oi tudo bom como posso tornar seu dia mais facil
480,Muito obrigado pela soluçao rapida e eficiente do problema,Thanks closing the chat now,estou insatisfeito com a falta de atençao,Preciso de ajuda para solucionar um problema em meu gerador eletrico,oi tudo bom posso tornar dia facil
481,obrigado soluçao rapida eficiente problema,thanks closing the chat now,nao estou contente com a falta de profissionalismo,preciso ajuda solucionar problema gerador eletrico,ola como posso contribuir para o seu sucesso
482,Muito grato pela competencia na resoluçao do meu problema,Encerrando a conversa obrigado,nao contente falta profissionalismo,A maquina esta consumindo muito mais energia do que o esperado o que pode ser,ola posso contribuir sucesso
483,grato competencia resoluçao problema,encerrando conversa obrigado,nao estou contente com a falta de profissionalismo,maquina consumindo energia esperado pode,oi estou aqui para resolver suas duvidas como posso ajudar
484,Obrigado pelo excelente serviço prestado,Agradeço imensamente encerrando por aqui,estou frustrado com a falta de resposta,O que pode estar causando um problema de vibraçao em meu motor eletrico,oi aqui resolver duvidas posso ajudar
485,obrigado excelente serviço prestado,agradeço imensamente encerrando aqui,frustrado falta resposta,pode causando problema vibraçao motor eletrico,ola em que posso ser util para voce hoje
486,Obrigado pela competencia,Encerrando a conversa aqui obrigado pela ajuda,estou frustrado com a falta de resposta,Estou com dificuldades para encontrar a causa raiz de um problema na minha maquina como posso melhorar essa analise,ola posso util voce hoje
487,Muito grato pela sua ajuda voce foi extremamente util,encerrando conversa aqui obrigado ajuda,nao estou satisfeito com a assistencia recebida,dificuldades encontrar causa raiz problema maquina posso melhorar analise,oi como posso melhorar sua experiencia conosco
488,grato ajuda voce extremamente util,Finalizar chatbot agradeço a ajuda,nao satisfeito assistencia recebida,A bomba de agua do meu equipamento esta com vazamentos o que devo verificar,oi posso melhorar experiencia conosco
489,Muito obrigado pelo suporte durante todo o processo,finalizar chatbot agradeço ajuda,nao estou satisfeito com a assistencia recebida,bomba agua equipamento vazamentos devo verificar,ola como posso simplificar suas tarefas
490,obrigado suporte durante todo processo,Agradecido pela soluçao ate mais,estou descontente com a demora na resoluçao,A velocidade do meu motor esta irregular como solucionar esse problema,ola posso simplificar tarefas
491,Agradeço pelo suporte rapido e eficaz,agradecido soluçao ate,descontente demora resoluçao,velocidade motor irregular solucionar problema,oi tudo tranquilo por ai como posso te auxiliar
492,agradeço suporte rapido eficaz,Terminei de conversar obrigado a,estou descontente com a demora na resoluçao,Poderia me orientar sobre como resolver um problema de superaquecimento em meu equipamento de força,oi tudo tranquilo ai posso auxiliar
493,Nao poderia estar mais agradecido pelo excelente serviço prestado,terminei conversar obrigado,nao estou feliz com a falta de suporte adequado,poderia orientar sobre resolver problema superaquecimento equipamento força,ola estou pronto para te fornecer suporte excepcional
494,nao poderia agradecido excelente serviço prestado,Encerrar obrigado pela ajuda,nao feliz falta suporte adequado,Como posso resolver um problema de vazamento em meu equipamento de pintura,ola pronto fornecer suporte excepcional
495,Voce fez um otimo trabalho,encerrar obrigado ajuda,nao estou feliz com a falta de suporte adequado,posso resolver problema vazamento equipamento pintura,oi como posso tornar seu dia mais produtivo
496,voce fez otimo trabalho,Acho que e tudo por ora,estou chateado com a falta de comprometimento,Meu equipamento de solda esta apresentando falhas Como posso conserta lo,oi posso tornar dia produtivo
497,Eu so queria deixar registrado o quanto eu estou grato pelas suas dicas,acho tudo ora,chateado falta comprometimento,equipamento solda apresentando falhas posso conserta lo,ola seja bem vindo como posso te ajudar
498,so queria deixar registrado quanto grato dicas,Acho que e tudo por os,estou chateado com a falta de comprometimento,Estou tendo dificuldades para interpretar as informaçoes do painel de controle voce pode me auxiliar,ola seja bem vindo posso ajudar
499,Muito obrigado pela paciencia e dedicaçao,acho tudo os,nao gostei da falta de empatia,tendo dificuldades interpretar informaçoes painel controle voce pode auxiliar,oi qual e a sua pergunta estou aqui para responder
500,obrigado paciencia dedicaçao,acho tudo,nao gostei falta empatia,Estou tendo dificuldades para interpretar a informaçoes do painel de controle voce pode me auxiliar,oi pergunta aqui responder
501,Agradeço pela paciencia em explicar tudo de forma detalhada,Acho que e tudo por o,nao gostei da falta de empatia,Como posso evitar problemas comuns em maquinas,ola estou a disposiçao para resolver seus problemas
502,agradeço paciencia explicar tudo forma detalhada,acho tudo o,estou insatisfeito com a falta de agilidade,posso evitar problemas comuns maquinas,ola disposiçao resolver problemas
503,Agradeço pela rapidez,Obrigado pela orientaçao finalizando aqui a conversa,insatisfeito falta agilidade,Nao estou conseguindo fazer a manutençao preventiva da minha maquina o que devo fazer,ola como vai voce
504,agradeço rapidez,obrigado orientaçao finalizando aqui conversa,estou insatisfeito com a falta de agilidade,nao conseguindo fazer manutençao preventiva maquina devo fazer,ola vai voce
505,Fiquei muito satisfeito com o serviço prestado,Foi otimo conversar contigo muito obrigado,nao estou contente com a falta de eficiencia,Estou sofrendo com queda de energia na minha fabrica existe algo que eu possa fazer para evitar isso,oi estou aqui para ajudar no que precisar
506,fiquei satisfeito serviço prestado,otimo conversar contigo obrigado,nao contente falta eficiencia,sofrendo queda energia fabrica existe algo possa fazer evitar,oi aqui ajudar precisar
507,Obrigado pela atençao e dedicaçao ao meu caso,Agradeço pela orientaçao encerrando a conversa,nao estou contente com a falta de eficiencia,Um dos meus equipamentos parou de funcionar o que devo fazer,ola como posso facilitar sua vida hoje
508,obrigado atençao dedicaçao caso,agradeço orientaçao encerrando conversa,estou irritado com a falta de soluçao para o meu problema,equipamentos parou funcionar devo fazer,ola posso facilitar vida hoje
509,Obrigado pelo suporte tecnico,Terminei meu atendimento podemos encerrar,irritado falta soluçao problema,Um do meus equipamentos parou de funcionar o que devo fazer,oi tudo certo como posso ser util
510,obrigado suporte tecnico,terminei atendimento podemos encerrar,estou irritado com a falta de soluçao para o meu problema,Estou tendo dificuldades para identificar o tipo de lubrificante que deve ser usado em minha maquina pode me ajudar,oi tudo certo posso util
511,Seu suporte foi fundamental para o bom funcionamento da minha maquina,Grato pela ajuda encerrando a conversa,nao estou satisfeito com a falta de suporte tecnico,tendo dificuldades identificar tipo lubrificante deve usado maquina pode ajudar,ola estou a disposiçao para esclarecer suas duvidas
512,suporte fundamental bom funcionamento maquina,grato ajuda encerrando conversa,nao satisfeito falta suporte tecnico,Preciso realizar manutençao preventiva em meu equipamento voce pode me dar algumas orientaçoes,ola disposiçao esclarecer duvidas
513,Obrigado por me ajudar a identificar onde estava meu problema mecanico,Ate mais muito obrigado,nao estou satisfeito com a falta de suporte tecnico,preciso realizar manutençao preventiva equipamento voce pode dar algumas orientaçoes,oi como posso tornar seu dia mais agradavel
514,obrigado ajudar identificar onde problema mecanico,ate obrigado,estou desapontado com a falta de atençao ao meu caso,A calibraçao da ferramenta da minha maquina esta desajustada o que fazer,oi posso tornar dia agradavel
515,Fico agradecido pela ajuda,Foi bom conversar ate mais,desapontado falta atençao caso,calibraçao ferramenta maquina desajustada fazer,ola como posso fazer o seu dia melhor
516,fico agradecido ajuda,bom conversar ate,estou desapontado com a falta de atençao ao meu caso,Qual e a melhor forma de lidar com problemas de lubrificaçao em maquinas,ola posso fazer dia melhor
517,Agradeço pelo excelente atendimento e competencia,Foi um prazer conversar com voce,nao gostei da falta de respeito,melhor forma lidar problemas lubrificaçao maquinas,oi o que posso fazer por voce
518,agradeço excelente atendimento competencia,prazer conversar voce,nao gostei falta respeito,Minhas maquinas estao apresentando baixo rendimento Pode me ajudar a solucionar o problema,oi posso fazer voce
519,Obrigado pela ajuda valiosa,Ótimo vou encerrar a conversa,nao gostei da falta de respeito,maquinas estao apresentando baixo rendimento pode ajudar solucionar problema,ola como posso ajudar voce hoje
520,Agradecido pela eficiencia,ótimo vou encerrar conversa,estou insatisfeito com a falta de resposta satisfatoria,Estou com dificuldades para realizar a manutençao preditiva como posso melhorar isso,ola posso ajudar voce hoje
521,agradecido eficiencia,otimo vou encerrar conversa,insatisfeito falta resposta satisfatoria,dificuldades realizar manutençao preditiva posso melhorar,oi tudo bem por ai como posso ser util
522,Muito obrigado pela ajuda em solucionar meu problema tecnico,Encerrar conversa obrigado pelo suporte prestado,estou insatisfeito com a falta de resposta satisfatoria,Preciso de ajuda para solucionar um problema em meus motores eletricos,oi tudo bem ai posso util
523,obrigado ajuda solucionar problema tecnico,encerrar conversa obrigado suporte prestado,nao estou contente com a falta de dedicaçao,preciso ajuda solucionar problema motores eletricos,ola estou aqui para oferecer suporte excepcional
524,Agradeço por terem resolvido um problema que parecia impossivel de ser solucionado,Encerrar dialogo agradeço pelo atendimento,nao contente falta dedicaçao,A correia da minha maquina esta desgastada como devo proceder,ola aqui oferecer suporte excepcional
525,agradeço terem resolvido problema parecia impossivel solucionado,encerrar dialogo agradeço atendimento,nao estou contente com a falta de dedicaçao,correia maquina desgastada devo proceder,oi como posso tornar sua jornada mais facil
526,Muito obrigado pelo profissionalismo e dedicaçao na resoluçao do meu problema,Obrigado a pelo suporte,estou frustrado com a demora na soluçao,Estou enfrentando problemas de umidade em meu sistema de refrigeraçao O que devo fazer,oi posso tornar jornada facil
527,obrigado profissionalismo dedicaçao resoluçao problema,obrigado suporte,frustrado demora soluçao,enfrentando problemas umidade sistema refrigeraçao devo fazer,ola estou pronto para atender as suas necessidades
528,Agradeço pela sua ajuda,Agradeço pelos esclarecimentos finalizar conversa,estou frustrado com a demora na soluçao,Ola Estou com um problema na linha de produçao pode me ajudar,ola pronto atender necessidades
529,Muito obrigado pela sua atençao e prestatividade,agradeço esclarecimentos finalizar conversa,nao estou satisfeito com a falta de compromisso,ola problema linha produçao pode ajudar,ola estou pronto para atender a suas necessidades
530,obrigado atençao prestatividade,Acabou meu tempo disponivel encerrar conversa,nao satisfeito falta compromisso,Minha linha de produçao esta parada por causa de um problema como posso soluciona lo,oi tudo tranquilo por ai como posso auxiliar
531,Muito obrigado por me guiar na soluçao do problema,acabou tempo disponivel encerrar conversa,nao estou satisfeito com a falta de compromisso,linha produçao parada causa problema posso soluciona lo,good morning
